KEY,SCALE,PENTATONIC SCALE,ARPEGGIO,MAJ 7TH,DOM 7TH,BLUES SCALE
A MAJOR,"A,B,C#,D,E,F#,G#","A,B,C#,E,F#","A,C#,E",G#,G,"A,B,C,C#,E,F#"
Bb MAJOR,"Bb,C,D,Eb,F,G,A","Bb,C,D,F,G","Bb,D,F",A,Ab,"Bb,C,Db,D,F,G"
B MAJOR,"B,C#,D#,E,F#,G#,A#","B,C#,D#,F#,G#","B,D#,F#",A#,A,"B,C#,D,D#,F#,G#"
C MAJOR,"C,D,E,F,G,A,B","C,D,E,G,A","C,E,G",B,Bb,"C,D,Eb,E,G,A"
Db MAJOR,"Db,Eb,F,Gb,Ab,Bb","Db,Eb,F,Ab,Bb","Db,F,Ab",C,B,"Db,Eb,E,F,Ab,Bb"
D MAJOR,"D,E,F#,G,A,B,C#","D,E,F#,A,B","D,F#,A",C#,C,"D,E,F,F#,A,B"
Eb MAJOR,"Eb,F,G,Ab,Bb,C,D","Eb,F,G,Bb,C","Eb,G,Bb",D,C#,"Eb,F,Gb,G,Bb,C"
E MAJOR,"E,F#,G#,A,B,C#,D#","E,F#,G#,B,C#","E,G#,B",D#,D,"E,F#,G,G#,B,C#"
F MAJOR,"F,G,A,Bb,C,D,E","F,G,A,C,D","F,A,C",E,Eb,"F,G,Ab,A,C,D"
F# MAJOR,"F#,G#,A#,B,C#,D#,F","F#,G#,A#,C#,D#","F#,A#,C#",F,E,A
G MAJOR,"G,A,B,C,D,E,F#","G,A,B,D,E","G,B,D",F#,F,"G,A,Bb,B,D,E"
Ab MAJOR,"Ab,Bb,C,Db,Eb,F,G","Ab,Bb,C,Eb,F","Ab,C,Eb",G,F#,A
A MINOR,"A,B,C,D,E,F,G","A,C,D,E,G","A,C,E",G#,G,"A,C,D,Eb,E,G"
Ab MINOR,"Bb,C,Db,Eb,F,Gb,Ab","Bb,Db,Eb,F,Ab","Bb,DB,F",A,G#,A
B MINOR,"B,C#,D,E,F#,G,A","B,D,E,F#,A","B,D,F#",A#,A,"B,D,E,F,F#,A"
C MINOR,"C,D,Eb,F,G,Ab,Bb","C,Eb,F,G,Bb","C,Eb,G",B,Bb,"C,Eb,F,F#,G,Bb"
C# MINOR,"C#,D#,E,F#,G#,A,B","C#,E,F#,G#,B","C#,E,G#",C,B,"C#,E,F#,G,G#,B"
D MINOR,"D,E,F,G,A,Bb,C","D,F,G,A,C","D,F,A",C#,C,"D,F,G,Ab,A,C"
D# MINOR,"Eb,F,Gb,Ab,Bb,B,C#","Eb,Gb,Ab,Bb,C#","Eb,Gb,Bb",D,C#,A
E MINOR,"E,F#,G,A,B,C,D","E,G,A,B,D","E,G,B",D#,D,"E,G,A,Bb,B,D"
F MINOR,"F,G,Ab,Bb,C,Db,Eb","F,Ab,Bb,C,Eb","F,Ab,C",E,Eb,"F,Ab,Bb,B,C,Eb"
F# MINOR,"F#,G#,A,B,C#,D,E","F#,A,B,C#,E","F#,A,C#",F,E,"F#,A,B,C,C#,E"
G MINOR,"G,A,Bb,C,D,Eb,F","G,Bb,C,D,F","G,Bb,D",F#,F,"G,Bb,C,Db,D,F"
G# MINOR,"G#,A#,B,C#,D#,E,F#","G#,B,C#,D#,F#","G#,B,D#",G,F#,"G#,B,C#,D,D#,F#"
