ID,FRET,STRING,NOTE,X_LOC_VERT,Y_LOC_VERT,X_LOC_HOR,Y_LOC_HOR
1,0,1,E,59,208,207,120
2,0,2,A,68,208,207,112
3,0,3,D,77,208,207,103
4,0,4,G,86,208,207,95
5,0,5,B,95,208,207,86
6,0,6,E,104,208,207,77
7,1,1,F,59,247,247,120
8,1,2,A#/Bb,68,247,247,112
9,1,3,D#/Eb,77,247,247,103
10,1,4,G#/Ab,86,247,247,95
11,1,5,C,95,247,247,85
12,1,6,F,104,247,247,76
13,2,1,F#/Gb,59,286,286,120
14,2,2,B,68,286,286,112
15,2,3,E,77,286,286,103
16,2,4,A,86,286,286,93
17,2,5,C#/Db,95,286,286,85
18,2,6,F#/Gb,104,286,286,75
19,3,1,G,59,325,325,120
20,3,2,C,68,325,325,112
21,3,3,F,77,325,325,103
22,3,4,A#/Bb,87,325,325,93
23,3,5,D,95,325,325,83
24,3,6,G,105,325,325,74
25,4,1,G#/Ab,59,362,362,121
26,4,2,C#/Db,68,362,362,112
27,4,3,F#/Gb,77,362,362,102
28,4,4,B,87,362,362,93
29,4,5,D#/Eb,97,362,362,83
30,4,6,G#/Ab,106,362,362,73
31,5,1,A,58,397,397,121
32,5,2,D,68,397,397,112
33,5,3,G,78,397,397,102
34,5,4,C,88,397,397,92
35,5,5,E,98,397,397,82
36,5,6,A,108,397,397,72
37,6,1,A#/Bb,58,430,430,121
38,6,2,D#/Eb,68,430,430,112
39,6,3,G#/Ab,78,430,430,102
40,6,4,C#/Db,88,430,430,92
41,6,5,F,98,430,430,81
42,6,6,A#/Bb,109,430,430,71
43,7,1,B,58,461,461,121
44,7,2,E,68,461,461,112
45,7,3,A,78,461,461,102
46,7,4,D,89,461,461,91
47,7,5,F#/Gb,100,461,461,80
48,7,6,B,110,461,461,71
49,8,1,C,58,491,491,121
50,8,2,F,68,491,491,112
51,8,3,A#/Bb,78,491,491,101
52,8,4,D#/Eb,89,491,491,91
53,8,5,G,100,491,491,80
54,8,6,C,110,491,491,70
55,9,1,C#/Db,58,519,519,121
56,9,2,F#/Gb,68,519,519,112
57,9,3,B,78,519,519,101
58,9,4,E,89,519,519,91
59,9,5,G#/Ab,101,519,519,79
60,9,6,C#/Db,111,519,519,69
61,10,1,D,58,545,545,121
62,10,2,G,68,545,545,112
63,10,3,C,79,545,545,101
64,10,4,F,89,545,545,91
65,10,5,A,101,545,545,79
66,10,6,D,112,545,545,69
67,11,1,D#/Eb,58,569,569,121
68,11,2,G#/Ab,68,569,569,112
69,11,3,C#/Db,79,569,569,101
70,11,4,F#/Gb,90,569,569,90
71,11,5,A#/Bb,102,569,569,78
72,11,6,D#/Eb,112,569,569,68
73,12,1,E,57,595,595,121
74,12,2,A,68,595,595,112
75,12,3,D,79,595,595,101
76,12,4,G,90,595,595,89
77,12,5,B,102,595,595,77
78,12,6,E,113,595,595,67
