KEY,FIRST,SENOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,TYPE
A MAJOR,A,B,C#,D,E,F#,G#,MAJOR
Bb MAJOR,Bb,C,D,Eb,F,G,A,MAJOR
B MAJOR,B,C#,D#,E,F#,G#,A#,MAJOR
C MAJOR,C,D,E,F,G,A,B,MAJOR
Db MAJOR,Db,Eb,F,Gb,Ab,Bb,C,MAJOR
D MAJOR,D,E,F#,G,A,B,C#,MAJOR
Eb MAJOR,Eb,F,G,Ab,Bb,C,D,MAJOR
E MAJOR,E,F#,G#,A,B,C#,D#,MAJOR
F MAJOR,F,G,A,Bb,C,D,E,MAJOR
F# MAJOR,F#,G#,A#,B,C#,D#,F,MAJOR
G MAJOR,G,A,B,C,D,E,F#,MAJOR
Ab MAJOR,Ab,Bb,C,Db,Eb,F,G,MAJOR
A MINOR,A,B,C,D,E,F,G,MINOR
Bb MINOR,Bb,C,Db,Eb,F,Gb,Ab,MINOR
B MINOR,B,C#,D,E,F#,G,A,MINOR
C MINOR,C,D,Eb,F,G,Ab,Bb,MINOR
C# MINOR,C#,D#,E,F#,G#,A,B,MINOR
D MINOR,D,E,F,G,A,Bb,C,MINOR
D# MINOR,D#,F,F#,G#,A#,B,C#,MINOR
E MINOR,E,F#,G,A,B,C,D,MINOR
F MINOR,F,G,Ab,Bb,C,Db,Eb,MINOR
F# MINOR,F#,G#,A,B,C#,D,E,MINOR
G MINOR,G,A,Bb,C,D,Eb,F,MINOR
G# MINOR,G#,A#,B,C#,D#,E,F#,MINOR
